configuration_id,total_energy_eV,converged,used_in_fit,notes
0,-529.957183180000,true,true,
1,-529.964613440000,true,true,
2,-529.985781440000,true,true,
3,-529.985820010000,true,true,
4,-530.016512960000,true,true,
5,-529.993150340000,true,true,
6,-529.994106790000,true,true,
7,-529.992870570000,true,true,
8,-529.979069750000,true,true,
9,-529.994359700000,true,true,
10,-530.007820260000,true,true,
11,-529.956521420000,true,true,
12,-529.970398880000,true,true,
13,-529.986331650000,true,true,
14,-529.978474950000,true,true,
15,-529.979037600000,true,true,
16,-529.955835030000,true,true,
17,-529.993723610000,true,true,
18,-530.016867370000,true,true,
19,-530.001554410000,true,true,
20,-529.971497900000,true,true,
21,-529.956453150000,true,true,
22,-529.986639410000,true,true,
23,-529.993812960000,true,true,
24,-529.971563470000,true,true,
25,-529.963275320000,true,true,
26,-529.979003230000,true,true,
27,-529.964560390000,true,true,
28,-529.986210890000,true,true,
29,-529.993952170000,true,true,
30,-530.000682970000,true,true,
31,-530.001586930000,true,true,
32,-529.940317070000,true,true,
33,-530.021730660000,true,true,
34,-529.979123630000,true,true,
35,-530.001151990000,true,true,
36,-529.972328900000,true,true,
37,-529.993744910000,true,true,
38,-529.993614380000,true,true,
39,-530.000102530000,true,true,
40,-529.949720470000,true,true,
41,-529.955543210000,true,true,
42,-529.993717210000,true,true,
43,-529.971426830000,true,true,
44,-529.993843540000,true,true,
45,-529.956810170000,true,true,
46,-529.970887430000,true,true,
47,-529.978926110000,true,true,
48,-529.986131640000,true,true,
49,-529.986123260000,true,true,
50,-529.940576470000,true,true,
51,-529.978171800000,true,true,
52,-529.971126000000,true,true,
53,-529.971370820000,true,true,
54,-530.000677490000,true,true,
55,-529.986452590000,true,true,
56,-529.993023290000,true,true,
57,-530.000858370000,true,true,
58,-529.993193470000,true,true,
59,-530.008412120000,true,true,
60,-529.994581800000,true,true,
61,-529.964069200000,true,true,
62,-529.971917490000,true,true,
63,-529.957100730000,true,true,
64,-529.993774760000,true,true,
65,-529.963613440000,true,true,
66,-529.963596520000,true,true,
67,-529.987150530000,true,true,
68,-530.000843630000,true,true,
69,-530.000153200000,true,true,
70,-529.971682640000,true,true,
71,-529.986244380000,true,true,
72,-529.979262040000,true,true,
73,-529.963761300000,true,true,
74,-529.987417330000,true,true,
75,-530.001635300000,true,true,
76,-529.963584760000,true,true,
77,-529.971786980000,true,true,
78,-529.994052930000,true,true,
79,-529.978483490000,true,true,
80,-529.963405550000,true,true,
81,-529.978976980000,true,true,
82,-529.987447090000,true,true,
83,-530.024016080000,true,true,
84,-529.956848690000,true,true,
85,-529.949152830000,true,true,
86,-529.970800520000,true,true,
87,-529.940478050000,true,true,
88,-530.001187290000,true,true,
89,-529.964324670000,true,true,
90,-529.977267130000,true,true,
91,-529.978740470000,true,true,
92,-529.955833220000,true,true,
93,-530.000352130000,true,true,
94,-529.971654630000,true,true,
95,-525.500352500000,false,false,electronic SCF not converged
96,-529.963980620000,true,true,
97,-529.985889870000,true,true,
98,-530.008779020000,true,true,
99,-529.941910450000,true,true,
100,-529.986176920000,true,true,
101,-529.994286100000,true,true,
102,-529.993812560000,true,true,
103,-530.013904320000,true,true,
104,-529.978882760000,true,true,
105,-530.007965120000,true,true,
106,-529.993159700000,true,true,
107,-529.978754030000,true,true,
108,-529.963699570000,true,true,
109,-529.978313140000,true,true,
110,-529.994180280000,true,true,
111,-529.970627960000,true,true,
112,-529.971372880000,true,true,
113,-525.479029090000,false,false,electronic SCF not converged
114,-529.978715180000,true,true,
115,-529.955686150000,true,true,
116,-529.979634870000,true,true,
117,-529.985804310000,true,true,
118,-529.993709940000,true,true,
119,-530.007068750000,true,true,
120,-529.962675210000,true,true,
121,-529.956250890000,true,true,
122,-529.986887050000,true,true,
123,-529.986187180000,true,true,
124,-529.993388130000,true,true,
125,-529.963780170000,true,true,
126,-529.941462020000,true,true,
127,-529.970162390000,true,true,
