configuration_id,total_energy_eV,converged,used_in_fit,notes
0,-532.034462990000,true,true,
1,-532.041967980000,true,true,
2,-532.065421270000,true,true,
3,-532.065177790000,true,true,
4,-532.101180860000,true,true,
5,-532.074508100000,true,true,
6,-532.075588190000,true,true,
7,-532.074869810000,true,true,
8,-532.058467590000,true,true,
9,-532.076228760000,true,true,
10,-532.091262120000,true,true,
11,-532.032060140000,true,true,
12,-532.048887730000,true,true,
13,-532.066402880000,true,true,
14,-532.057760630000,true,true,
15,-532.058405370000,true,true,
16,-532.032269170000,true,true,
17,-532.074854070000,true,true,
18,-532.101893660000,true,true,
19,-532.083782060000,true,true,
20,-532.049805170000,true,true,
21,-532.032990400000,true,true,
22,-532.067090840000,true,true,
23,-532.075266680000,true,true,
24,-532.050537270000,true,true,
25,-532.039744980000,true,true,
26,-532.058719420000,true,true,
27,-532.042231810000,true,true,
28,-532.066253100000,true,true,
29,-532.075759500000,true,true,
30,-532.083124870000,true,true,
31,-532.084814390000,true,true,
32,-532.013548410000,true,true,
33,-532.106805410000,true,true,
34,-532.058506490000,true,true,
35,-532.083331090000,true,true,
36,-532.050777640000,true,true,
37,-532.074540750000,true,true,
38,-532.075053510000,true,true,
39,-532.082116570000,true,true,
40,-532.025638910000,true,true,
41,-532.030936350000,true,true,
42,-532.075159040000,true,true,
43,-532.050024290000,true,true,
44,-532.075630420000,true,true,
45,-532.033385430000,true,true,
46,-532.048792600000,true,true,
47,-532.057944260000,true,true,
48,-532.066488050000,true,true,
49,-532.066179030000,true,true,
50,-532.014490170000,true,true,
51,-532.057413740000,true,true,
52,-532.049029080000,true,true,
53,-532.050000530000,true,true,
54,-532.082781930000,true,true,
55,-532.067571420000,true,true,
56,-532.073374990000,true,true,
57,-532.083285090000,true,true,
58,-532.074889060000,true,true,
59,-532.091581160000,true,true,
60,-532.076819230000,true,true,
61,-532.041629530000,true,true,
62,-532.050651670000,true,true,
63,-532.033391310000,true,true,
64,-532.075234170000,true,true,
65,-532.040804710000,true,true,
66,-532.040452990000,true,true,
67,-532.068352460000,true,true,
68,-532.082940970000,true,true,
69,-532.081837610000,true,true,
70,-532.050355130000,true,true,
71,-532.067311590000,true,true,
72,-532.059001330000,true,true,
73,-532.040643970000,true,true,
74,-532.068668520000,true,true,
75,-532.084202560000,true,true,
76,-532.040132240000,true,true,
