configuration_id,total_energy_eV,converged,used_in_fit,notes
0,-536.494534380000,true,true,
1,-536.501957260000,true,true,
2,-536.530689660000,true,true,
3,-536.529691330000,true,true,
4,-536.578623950000,true,true,
5,-536.544041670000,true,true,
6,-536.545425180000,true,true,
7,-536.546110630000,true,true,
8,-536.523337370000,true,true,
9,-536.547075550000,true,true,
10,-536.565774310000,true,true,
11,-536.487537380000,true,true,
12,-536.511645490000,true,true,
13,-536.532783320000,true,true,
14,-536.522353400000,true,true,
15,-536.523192530000,true,true,
16,-536.490129820000,true,true,
17,-536.543773990000,true,true,
18,-536.580279270000,true,true,
19,-536.555320230000,true,true,
20,-536.512064800000,true,true,
21,-536.491105200000,true,true,
22,-536.534474360000,true,true,
23,-536.545037060000,true,true,
24,-536.514560760000,true,true,
25,-536.497435880000,true,true,
26,-536.524432190000,true,true,
27,-536.503065450000,true,true,
28,-536.532566650000,true,true,
29,-536.546458880000,true,true,
30,-536.555251990000,true,true,
31,-536.558991020000,true,true,
32,-536.463494880000,true,true,
33,-536.585119920000,true,true,
34,-536.523337710000,true,true,
35,-536.554753750000,true,true,
36,-536.513384270000,true,true,
37,-536.542573680000,true,true,
38,-536.544792920000,true,true,
39,-536.553121660000,true,true,
40,-536.482373980000,true,true,
41,-536.486052740000,true,true,
42,-536.544900220000,true,true,
43,-536.513058960000,true,true,
44,-536.546280900000,true,true,
45,-536.491597820000,true,true,
46,-536.510005650000,true,true,
47,-536.521819560000,true,true,
48,-536.533633350000,true,true,
49,-536.532527730000,true,true,
50,-536.466237870000,true,true,
51,-536.521891650000,true,true,
52,-536.510231520000,true,true,
53,-536.513108540000,true,true,
54,-536.554022180000,true,true,
55,-536.536720610000,true,true,
56,-536.540259010000,true,true,
57,-536.555373890000,true,true,
58,-536.545312330000,true,true,
59,-536.565357350000,true,true,
60,-536.548632810000,true,true,
61,-536.502186400000,true,true,
62,-536.514015020000,true,true,
63,-536.490841720000,true,true,
64,-536.545015900000,true,true,
65,-536.500391800000,true,true,
66,-536.499159970000,true,true,
67,-536.537701760000,true,true,
68,-536.554157360000,true,true,
69,-536.551982090000,true,true,
70,-536.513574530000,true,true,
71,-536.536333080000,true,true,
72,-536.524771200000,true,true,
73,-536.499411670000,true,true,
74,-536.538135420000,true,true,
75,-536.556634780000,true,true,
76,-536.498018990000,true,true,
77,-536.513727540000,true,true,
78,-536.546654040000,true,true,
79,-536.521088240000,true,true,
80,-536.498818780000,true,true,
81,-536.523087990000,true,true,
82,-536.538058960000,true,true,
83,-536.593333790000,true,true,
84,-536.490439940000,true,true,
85,-536.481489360000,true,true,
86,-536.510970810000,true,true,
87,-536.465007200000,true,true,
88,-536.555940230000,true,true,
89,-536.502670650000,true,true,
90,-536.518142400000,true,true,
91,-536.524002450000,true,true,
92,-536.488767630000,true,true,
93,-536.552361860000,true,true,
94,-536.513478810000,true,true,
95,-532.505849100000,false,false,electronic SCF not converged
96,-536.502231780000,true,true,
97,-536.534555300000,true,true,
98,-536.568352810000,true,true,
99,-536.468361830000,true,true,
100,-536.533827150000,true,true,
101,-536.548229090000,true,true,
102,-536.544990780000,true,true,
103,-536.573494050000,true,true,
104,-536.524181510000,true,true,
105,-536.564725470000,true,true,
106,-536.546595670000,true,true,
107,-536.519192650000,true,true,
108,-536.499273950000,true,true,
109,-536.522184210000,true,true,
110,-536.548163790000,true,true,
111,-536.508236270000,true,true,
112,-536.510578650000,true,true,
113,-532.485677880000,false,false,electronic SCF not converged
114,-536.522731280000,true,true,
115,-536.487483590000,true,true,
116,-536.526605050000,true,true,
117,-536.534470720000,true,true,
118,-536.543753620000,true,true,
119,-536.562222140000,true,true,
120,-536.497783580000,true,true,
121,-536.489519230000,true,true,
122,-536.533666700000,true,true,
123,-536.533786830000,true,true,
124,-536.545546230000,true,true,
125,-536.500686750000,true,true,
126,-536.468930570000,true,true,
127,-536.510074090000,true,true,
128,-536.453409270000,true,true,
129,-536.485568870000,true,true,
130,-536.546132620000,true,true,
131,-536.534672360000,true,true,
132,-536.512530320000,true,true,
133,-536.513367120000,true,true,
134,-536.487964150000,true,true,
135,-536.479628910000,true,true,
136,-536.478761490000,true,true,
137,-536.500564980000,true,true,
138,-536.561086930000,true,true,
139,-536.479683280000,true,true,
140,-536.491953480000,true,true,
141,-536.510992560000,true,true,
142,-536.500571320000,true,true,
143,-536.534578880000,true,true,
144,-536.548800650000,true,true,
145,-536.500014940000,true,true,
146,-536.551491310000,true,true,
147,-536.586458580000,true,true,
148,-536.522524250000,true,true,
149,-536.513123910000,true,true,
150,-536.536451110000,true,true,
151,-536.502518050000,true,true,
152,-536.546420530000,true,true,
153,-536.523894280000,true,true,
154,-536.545991840000,true,true,
155,-536.585521860000,true,true,
156,-536.468093250000,true,true,
157,-536.521165940000,true,true,
158,-536.513799570000,false,false,electronic SCF not converged
159,-536.543175520000,true,true,
160,-536.501900500000,true,true,
161,-536.524496060000,true,true,
162,-536.520311190000,true,true,
163,-536.491822030000,true,true,
164,-536.509586200000,true,true,
165,-536.511827940000,true,true,
166,-536.534168520000,true,true,
167,-536.543730750000,true,true,
168,-536.521112430000,true,true,
169,-536.491214610000,true,true,
170,-536.502724640000,true,true,
171,-536.532009760000,true,true,
172,-536.512524480000,true,true,
173,-536.493361570000,true,true,
174,-536.524580160000,true,true,
175,-536.524170210000,true,true,
176,-536.522719890000,true,true,
