configuration_id,total_energy_eV,converged,used_in_fit,notes
209,-534.237424400000,true,true,
210,-534.229530530000,true,true,
211,-534.207738230000,true,true,
212,-534.260142590000,true,true,
213,-534.250166020000,true,true,
214,-534.258569090000,true,true,
215,-534.250052790000,true,true,
216,-534.260461370000,true,true,
217,-534.252508190000,true,true,
218,-534.239958410000,true,true,
219,-534.248556140000,true,true,
220,-534.247926660000,true,true,
221,-534.238624050000,true,true,
222,-534.240165730000,true,true,
223,-534.249392820000,true,true,
224,-534.229553780000,true,true,
225,-534.240647590000,true,true,
226,-534.268259560000,true,true,
227,-534.236371720000,true,true,
228,-534.249111510000,true,true,
229,-534.267041110000,true,true,
230,-534.238787300000,true,true,
231,-534.250220560000,true,true,
232,-530.055927640000,false,false,electronic SCF not converged
233,-534.259596780000,true,true,
234,-534.259136190000,true,true,
235,-534.248644850000,true,true,
236,-534.258515530000,true,true,
237,-534.256526910000,true,true,
238,-534.250214680000,true,true,
239,-534.238758450000,true,true,
