configuration_id,total_energy_eV,converged,used_in_fit,notes
0,-527.980156430000,true,true,
1,-527.987453580000,true,true,
2,-528.006531120000,true,true,
3,-528.006801390000,true,true,
4,-528.032807690000,true,true,
5,-528.012405300000,true,true,
6,-528.013252830000,true,true,
7,-528.011596370000,true,true,
8,-528.000081950000,true,true,
9,-528.013180740000,true,true,
10,-528.025211080000,true,true,
11,-527.980941260000,true,true,
12,-527.992240630000,true,true,
13,-528.006716890000,true,true,
14,-527.999585310000,true,true,
15,-528.000074340000,true,true,
16,-527.979516980000,true,true,
17,-528.013163290000,true,true,
18,-528.032863370000,true,true,
19,-528.020012110000,true,true,
20,-527.993484330000,true,true,
21,-527.980044670000,true,true,
22,-528.006708420000,true,true,
23,-528.012983720000,true,true,
24,-527.992997650000,true,true,
25,-527.986859960000,true,true,
26,-527.999751790000,true,true,
27,-527.987139260000,true,true,
28,-528.006622420000,true,true,
29,-528.012828360000,true,true,
30,-528.018969090000,true,true,
31,-528.019214660000,true,true,
32,-527.966796720000,true,true,
33,-528.037636260000,true,true,
34,-528.000148430000,true,true,
35,-528.019653170000,true,true,
36,-527.994191030000,true,true,
37,-528.013461550000,true,true,
38,-528.012799040000,true,true,
39,-528.018746480000,true,true,
40,-527.973890030000,true,true,
41,-527.980090390000,true,true,
42,-528.012898430000,true,true,
43,-527.993174510000,true,true,
44,-528.012737860000,true,true,
45,-527.980368930000,true,true,
46,-527.993211660000,true,true,
47,-528.000255230000,true,true,
48,-528.006283080000,true,true,
49,-528.006523470000,true,true,
50,-527.966489400000,true,true,
51,-527.999319160000,true,true,
52,-527.993450710000,true,true,
53,-527.993089390000,true,true,
54,-528.019244470000,true,true,
55,-528.005968800000,true,true,
56,-528.013114470000,true,true,
57,-528.019157320000,true,true,
58,-528.012167660000,true,true,
59,-528.026025240000,true,true,
60,-528.013095680000,true,true,
61,-527.986744650000,true,true,
62,-527.993544200000,true,true,
63,-527.980893130000,true,true,
64,-528.012940100000,true,true,
65,-527.986596840000,true,true,
66,-527.986858510000,true,true,
67,-528.006592560000,true,true,
68,-528.019415380000,true,true,
69,-528.019072430000,true,true,
70,-527.993364740000,true,true,
71,-528.005805490000,true,true,
72,-527.999990250000,true,true,
73,-527.986999500000,true,true,
74,-528.006815590000,true,true,
75,-528.019810460000,true,true,
76,-527.987102070000,true,true,
77,-527.993454270000,true,true,
78,-528.012907000000,true,true,
79,-527.999880480000,true,true,
80,-527.986705230000,true,true,
81,-528.000023780000,true,true,
82,-528.006873520000,true,true,
83,-528.038542100000,true,true,
84,-527.980677890000,true,true,
85,-527.973403440000,true,true,
86,-527.992884430000,true,true,
87,-527.966645120000,true,true,
88,-528.019423730000,true,true,
89,-527.986942180000,true,true,
90,-527.999074910000,true,true,
91,-527.999532190000,true,true,
92,-527.979823360000,true,true,
93,-528.019225630000,true,true,
94,-527.993352160000,true,true,
95,-523.377153290000,false,false,electronic SCF not converged
96,-527.986622020000,true,true,
97,-528.005781420000,true,true,
98,-528.025787700000,true,true,
99,-527.967628690000,true,true,
100,-528.006294850000,true,true,
101,-528.012829870000,true,true,
102,-528.012992060000,true,true,
103,-528.030813470000,true,true,
104,-527.999661500000,true,true,
105,-528.025626930000,true,true,
106,-528.011831600000,true,true,
107,-528.000641880000,true,true,
108,-527.986957790000,true,true,
109,-527.999423650000,true,true,
110,-528.012714330000,true,true,
111,-527.993301170000,true,true,
112,-527.993671720000,true,true,
113,-523.350462880000,false,false,electronic SCF not converged
114,-527.999789930000,true,true,
115,-527.979939010000,true,true,
116,-528.000025000000,true,true,
117,-528.005694790000,true,true,
118,-528.013150710000,true,true,
119,-528.025106870000,true,true,
120,-527.986050860000,true,true,
121,-527.980164570000,true,true,
122,-528.007190060000,true,true,
123,-528.006317220000,true,true,
124,-528.012351010000,true,true,
125,-527.986733240000,true,true,
126,-527.966952210000,true,true,
127,-527.992313520000,true,true,
128,-527.959818340000,true,true,
129,-527.980785100000,true,true,
130,-528.012654220000,true,true,
131,-528.006811860000,true,true,
132,-527.993730760000,true,true,
133,-527.993337260000,true,true,
134,-527.980234540000,true,true,
135,-527.974301530000,true,true,
136,-527.973748180000,true,true,
137,-527.986680610000,true,true,
138,-528.024547410000,true,true,
139,-527.973356170000,true,true,
140,-527.980575780000,true,true,
141,-527.992843820000,true,true,
142,-527.986684030000,true,true,
143,-528.006795780000,true,true,
144,-528.013139350000,true,true,
145,-527.986378470000,true,true,
146,-528.018766890000,true,true,
147,-528.037442710000,true,true,
148,-527.999695220000,true,true,
149,-527.993174560000,true,true,
150,-528.005888190000,true,true,
151,-527.986846840000,true,true,
152,-528.012753530000,true,true,
153,-527.999465760000,true,true,
154,-528.012579400000,true,true,
