supercell,Ueff_eV,n_total_configurations,n_converged,n_used_in_fit,condition_number,RMSE_meV,MAE_meV,max_abs_residual_meV,R2
20Mn,4.8,240,240,240,15.932670201063988,0.03876877590602191,0.03188286199199789,0.10670435318616,0.9999959083698539
28Mn,4.8,240,235,235,24.676552400467177,0.022740906376743263,0.018454593122867742,0.06289957252647582,0.9999987482601638
